Original | Correct | Predict
深度报告认为，光发在ESG领域的布局有望带来长期溢价。 | 深度报告认为，蓝光发展在ESG领域的布局有望带来长期溢价。 | 深度报告认为，光发在ESG领域的布局有望带来长期溢价。
关于隆鑫通子公司涉及的重大诉讼，公司已发布澄清公告。 | 关于隆鑫通用子公司涉及的重大诉讼，公司已发布澄清公告。 | 关于隆鑫通子公司涉及的重大诉讼，公司已发布澄清公告。
客服您好，我想查询一下浩物份的股息发放具体日期。 | 客服您好，我想查询一下浩物股份的股息发放具体日期。 | 客服您好，我想查询一下浩物份的股息发放具体日期。
关于大地的股息发放具体日期，请问在哪里可以查询到？ | 关于大地熊的股息发放具体日期，请问在哪里可以查询到？ | 关于大地的股息发放具体日期，请问在哪里可以查询到？
技术分析显示，友股份已突破关键阻力位，成交量同步放大。 | 技术分析显示，友阿股份已突破关键阻力位，成交量同步放大。 | 技术分析显示，新股份已突破关键阻力位，成交量同步放大。
行业分析指出，博彦科在细分赛道具备显著的先发优势。 | 行业分析指出，博彦科技在细分赛道具备显著的先发优势。 | 行业分析指出，博彦科在细分赛道具备显著的先发优势。
您好，我想咨询一下S通的股息发放具体日期和方式。 | 您好，我想咨询一下ST通葡的股息发放具体日期和方式。 | 您好，我想咨询一下流通的股息发放具体日期和方式。
客服您好，请问如何查询浪潮件的历史分红记录？ | 客服您好，请问如何查询浪潮软件的历史分红记录？ | 客服您好，请问如何查询浪潮件的历史分红记录？
宏观政策利好下，华灿电所属的新能源板块有望迎来估值修复。 | 宏观政策利好下，华灿光电所属的新能源板块有望迎来估值修复。 | 宏观政策利好下，华南电所属的新能源板块有望迎来估值修复。
本季度，航宏图的毛利率环比提升，主要得益于产品结构优化。 | 本季度，航天宏图的毛利率环比提升，主要得益于产品结构优化。 | 本季度，航宏图的毛利率环比提升，主要得益于产品结构优化。
您好，我想咨询一下顺科技的股息发放具体安排。 | 您好，我想咨询一下顺网科技的股息发放具体安排。 | 您好，我想咨询一下顺科技的股息发放具体安排。
深度报告认为，科技在细分赛道已建立起显著的护城河。 | 深度报告认为，同有科技在细分赛道已建立起显著的护城河。 | 深度报告认为，科技在细分赛道已建立起显著的护城河。
技术分析显示，能的股价已突破关键阻力位，成交量放大。 | 技术分析显示，新洁能的股价已突破关键阻力位，成交量放大。 | 技术分析显示，有的股价已突破关键阻力位，成交量放大。
股吧里都在传，一拖股下周可能有重磅合作消息公布！ | 股吧里都在传，一拖股份下周可能有重磅合作消息公布！ | 股吧里都在传，一家股下周可能有重磅合作消息公布！
有用户在论坛发帖称，大全源的技术面已出现金叉信号。 | 有用户在论坛发帖称，大全能源的技术面已出现金叉信号。 | 有用户在论坛发帖称，大全源的技术面已出现金叉信号。
客服您好，请问如何查询聚力化的历史分红记录？ | 客服您好，请问如何查询聚力文化的历史分红记录？ | 客服您好，请问如何查询聚力化的历史分红记录？
据最新公告，能电力拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，京能电力拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，新电力拟以自有资金回购不超过总股本5%的股份。
请问绿岛的股息发放日具体是哪一天？ | 请问绿岛风的股息发放日具体是哪一天？ | 请问绿岛的股息发放日具体是哪一天？
核心观点：长期看好宏盛份在细分领域的龙头地位和成长性。 | 核心观点：长期看好宏盛股份在细分领域的龙头地位和成长性。 | 核心观点：长期看好宏盛电在细分领域的龙头地位和成长性。
行业报告指出，森传感在细分市场的占有率正稳步提升。 | 行业报告指出，森霸传感在细分市场的占有率正稳步提升。 | 行业报告指出，森传感在细分市场的占有率正稳步提升。
客服您好，请问如何查询综股份的历史分红记录？ | 客服您好，请问如何查询综艺股份的历史分红记录？ | 客服您好，请问如何查询深股份的历史分红记录？
宏观政策利好下，生科技所属板块有望迎来估值修复。 | 宏观政策利好下，生益科技所属板块有望迎来估值修复。 | 宏观政策利好下，深科技所属板块有望迎来估值修复。
行业分析指出，瀚智能在细分赛道具备显著的先发优势。 | 行业分析指出，瀚川智能在细分赛道具备显著的先发优势。 | 行业分析指出，瀚智能在细分赛道具备显著的先发优势。
本季度，麦科技的毛利率显著提升，超出市场预期。 | 本季度，燕麦科技的毛利率显著提升，超出市场预期。 | 本季度，麦科技的毛利率显著提升，超出市场预期。
技术分析显示，国美通已突破关键阻力位，成交量放大。 | 技术分析显示，国美通讯已突破关键阻力位，成交量放大。 | 技术分析显示，国美通已突破关键阻力位，成交量放大。
快讯：东风汽今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：东风汽车今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：东风汽今日主力资金净流入超亿元，市场关注度骤升。
有用户发帖称：秉技的技术面出现金叉，短期看涨信号明显。 | 有用户发帖称：秉扬科技的技术面出现金叉，短期看涨信号明显。 | 有用户发帖称：科技的技术面出现金叉，短期看涨信号明显。
据最新消息，新火炬已获得监管机构批准，即将启动新一轮融资。 | 据最新消息，新疆火炬已获得监管机构批准，即将启动新一轮融资。 | 据最新消息，新火炬已获得监管机构批准，即将启动新一轮融资。
据最新公告，明智能拟以自有资金回购不超过总股本3%的股份。 | 据最新公告，祥明智能拟以自有资金回购不超过总股本3%的股份。 | 据最新公告，明智能拟以自有资金回购不超过总股本3%的股份。
您好，我想咨询一下中来的股息发放具体安排。 | 您好，我想咨询一下中来股份的股息发放具体安排。 | 您好，我想咨询一下中来的股息发放具体安排。
有用户发帖称：海通券的订单量近期暴增，是不是要启动了？ | 有用户发帖称：海通证券的订单量近期暴增，是不是要启动了？ | 有用户发帖称：海通券的订单量近期暴增，是不是要启动了？
客服您好，请问润和软的股东大会股权登记日是哪天？ | 客服您好，请问润和软件的股东大会股权登记日是哪天？ | 客服您好，请问润和软的股东大会股权登记日是哪天？
本季度，利特在细分市场的份额提升了约3个百分点。 | 本季度，普利特在细分市场的份额提升了约3个百分点。 | 本季度，利特在细分市场的份额提升了约3个百分点。
宏观政策利好下，天所属行业有望迎来新一轮景气周期。 | 宏观政策利好下，云天化所属行业有望迎来新一轮景气周期。 | 宏观政策利好下，其所属行业有望迎来新一轮景气周期。
您好，我想咨询一下关于*S宜康的股息发放具体安排。 | 您好，我想咨询一下关于*ST宜康的股息发放具体安排。 | 您好，我想咨询一下关于*S宜康的股息发放具体安排。
市场传闻欢世纪正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻欢瑞世纪正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻21世纪正与某行业巨头洽谈战略合作，引发广泛猜测。
快讯：华科技今日获北向资金净买入超2亿元。 | 快讯：佳华科技今日获北向资金净买入超2亿元。 | 快讯：华科技今日北北向资金净买入超2亿元。
据最新公告，中大拟进行重大资产重组，已申请停牌。 | 据最新公告，中岩大地拟进行重大资产重组，已申请停牌。 | 据最新公告，中大拟进行重大资产重组，已申请停牌。
有用户在论坛发帖称：升股份的技术面出现金叉信号，可以抄底吗？ | 有用户在论坛发帖称：华升股份的技术面出现金叉信号，可以抄底吗？ | 有用户在论坛发帖称：升股份的技术面出现金叉信号，可以抄底吗？
技术分析显示，华微子已突破关键阻力位，成交量同步放大。 | 技术分析显示，华微电子已突破关键阻力位，成交量同步放大。 | 技术分析显示，华微子已突破关键阻力位，成交量同步放大。
在股吧里，很多散户都在讨论科翔股下周会不会涨停。 | 在股吧里，很多散户都在讨论科翔股份下周会不会涨停。 | 在股吧里，很多散户都在讨论科翔股下周会不会涨停。
您好，我想咨询一下关于建能分红派息的具体到账时间。 | 您好，我想咨询一下关于中建环能分红派息的具体到账时间。 | 您好，我想咨询一下关于建能分红派息的具体到账时间。
宏观政策利好频出，虹计通所属板块有望迎来估值修复。 | 宏观政策利好频出，华虹计通所属板块有望迎来估值修复。 | 宏观政策利好频出，虹计通所属板块有望迎来估值修复。
有用户在论坛提问：'亚药的股息率今年还能维持吗？' | 有用户在论坛提问：'金石亚药的股息率今年还能维持吗？' | 有用户在论坛提问：'亚药的股息率今年还能维持吗？'
